binning_data,update_time,create_time,count,speed,distance,calorie
42debd90-cb08-41dd-90c4-0c1d6dd86827.binning_data.json,23:43.8,7/5/2022,1043,1.3095006,787.7,38.05
9c0e7b1b-206d-4dcb-8bea-bbc2d37bcb4e.binning_data.json,11:28.1,7/4/2022,32,1.1217512,23.490002,1.1500001
f69989a0-ce0f-462c-b8f4-298e4d9e24dd.binning_data.json,19:13.4,7/9/2022,6007,1.3509245,4558.11,217.15
b00f62c5-390a-48b6-ba4c-c0b5e166bbfd.binning_data.json,08:28.3,7/1/2022,5051,1.2350749,3763.32,196.44
a1e575bc-55d2-4e97-8073-06c047181e9c.binning_data.json,23:55.6,7/9/2022,2722,1.3298694,2067.82,99.2
9e57c308-5eca-4460-99b8-cf7399275bde.binning_data.json,42:39.5,7/9/2022,6007,1.3509245,4558.11,217.15
42dc4a12-3659-416f-9e9e-99b6f5b2466f.binning_data.json,57:01.4,7/14/2022,1639,1.524647,1280.54,57.19
c5395e12-dafd-4850-8829-4356b2ddb457.binning_data.json,15:02.6,7/11/2022,3975,1.3704169,3041.32,142.17
da319196-de6d-4020-b43a-df734c893a3a.binning_data.json,44:20.1,6/24/2022,2306,1.4456545,1769.66,81.49
15f9adbe-24ad-4cb2-bf1f-0c5b6c042557.binning_data.json,15:01.8,7/7/2022,3957,1.456462,3110.86,156.18
924f00e9-1f22-42c7-9c44-38db44dfe802.binning_data.json,31:31.8,7/13/2022,1405,1.4131066,1078.28,49.01
0d664dd4-671f-4f99-8c32-796b68ab2c24.binning_data.json,05:44.0,7/17/2022,1907,1.5143248,1497.14,65.72
179e0c7c-adf8-44aa-9889-0a9a5254500d.binning_data.json,15:02.3,7/10/2022,3809,1.5111691,2983.31,135.12
2c637b4f-3ab1-4884-97bf-7314f52f031b.binning_data.json,15:02.4,7/14/2022,1639,1.524647,1280.54,57.19
d5234d4b-53ba-4bce-8caf-9996712f5dac.binning_data.json,12:04.1,6/27/2022,3323,1.2293222,2466.95,128.43
9d17ad29-cb66-4657-b739-2400b4a36c46.binning_data.json,15:01.9,7/16/2022,1139,1.4062383,881.13,41.81
dcbb2b7b-7db2-4db6-9582-17f5e4071510.binning_data.json,58:09.6,7/15/2022,5218,1.4738314,4054.3,181.68
2b3e4d32-c910-4cb3-ae79-f97be1d7d56c.binning_data.json,05:17.2,7/5/2022,913,1.3441257,693.12,34.42
e5ad9335-122f-4f48-9445-ac5da9aa1c6e.binning_data.json,15:01.9,7/17/2022,1907,1.5143248,1497.14,65.72
00b8582b-9b57-4250-a583-8653af770a87.binning_data.json,15:02.3,6/30/2022,2314,1.4327039,1793.66,84.909996
4273437a-3589-4620-96bf-c4a3e3ecc086.binning_data.json,15:27.4,7/20/2022,7101,1.3210526,5361.14,261.88
1f1eb7a3-4ade-4cc1-a060-5f4438d6f7da.binning_data.json,14:19.6,7/18/2022,3404,1.4090267,2621.06,117.64
3ad67a42-0466-4be5-8be6-540b437c2c63.binning_data.json,10:13.8,7/19/2022,1691,1.2920218,1278.67,61.879997
0c07e503-296a-46ab-abdc-4758e7e0817d.binning_data.json,35:26.5,7/8/2022,4070,1.4457976,3143.41,156.23999
724f6967-8e30-4a82-8fda-9511322e8c7a.binning_data.json,32:19.0,7/11/2022,3975,1.3704169,3041.32,142.17
918492ec-f701-4f0e-84aa-895074c5c78d.binning_data.json,31:58.4,7/23/2022,5659,1.328621,4296.23,199.73
